Hindu Solar (Saka Era),Fixed Day,Gregorian (CE),Hindu Lunar (Vikrama Era),Leap Month?,Leap Day?,Sankranti: hh:mm:ss,Sankranti: Moments,Amavasya: hh:mm:ss,Amavasya: Moments
1885/9/1,716955,1963/12/16,2020/09/01,FALSE,FALSE,11:48:39.726," 716,955.49 ",06:32:25.892," 716,955.27 "
1885/10/1,716984,1964/01/14,2020/09/30,FALSE,FALSE,19:26:34.354," 716,984.81 ",01:20:25.252," 716,985.06 "
1744/9/1,665453,1822/12/13,1879/8/30,FALSE,FALSE,00:10:27.526," 665,454.01 ",17:52:00.161," 665,453.74 "
1744/10/1,665483,1823/1/12,1879/9/30,FALSE,FALSE,07:48:32.677," 665,483.33 ",13:46:57.632," 665,483.57 "
1603/9/1,613952,1681/12/10 ,1738/9/1,FALSE,FALSE,12:32:25.884," 613,952.52 ",05:14:33.480," 613,952.22 "
1603/10/1,613981,1682/1/8,1738/9/30,FALSE,FALSE,20:10:20.531," 613,981.84 ",01:11:37.994," 613,982.05 "
1462/9/1,562450,1540/12/8,1597/8/30,FALSE,FALSE,00:54:13.716," 562,451.04 ",17:36:31.986," 562,450.73 "
1462/10/1,562480,1541/1/7,1597/9/30,FALSE,FALSE,08:32:08.341," 562,480.36 ",12:29:37.136," 562,480.52 "
1443/8/1,555481,1521/11/9,1578/8/30,TRUE,FALSE,15:07:49.331," 555,481.63 ",14:22:17.756," 555,481.60 "
1443/9/1,555510,1521/12/8,1578/8/29,FALSE,TRUE,02:54:38.328," 555,511.12 ",09:59:51.334," 555,511.42 "
1397/10/1,538738,1476/1/6,1532/9/30,FALSE,FALSE,12:52:28.218," 538,738.54 ",11:39:20.696," 538,738.49 "
1397/11/1,538767,1476/2/4,1532/10/30,FALSE,FALSE,23:36:42.517," 538,767.98 ",00:05:00.597," 538,768.00 "
1321/9/1,510949,1399/12/6,1456/8/30,FALSE,FALSE,13:16:01.519," 510,949.55 ",07:32:11.950," 510,949.31 "
1321/10/1,510978,1400/1/4,1456/9/30,FALSE,FALSE,20:53:56.115," 510,978.87 ",00:39:59.510," 510,979.03 "
1302/8/1,503979,1380/11/5,1437/8/30,TRUE,FALSE,03:29:37.170," 503,980.15 ",02:34:46.447," 503,980.11 "
1302/9/1,504009,1380/12/5,1437/8/30,FALSE,FALSE,15:16:26.115," 504,009.64 ",21:15:12.204," 504,009.89 "
1256/9/1,487207,1334/12/5,1391/8/30,FALSE,FALSE,17:36:21.429," 487,207.73 ",11:17:01.381," 487,207.47 "
1256/10/1,487236,1335/1/3,1391/9/30,FALSE,FALSE,01:14:16.038," 487,237.05 ",03:48:04.528," 487,237.16 "
1237/8/1,480238,1315/11/6,1372/8/1,FALSE,FALSE,07:50:07.603," 480,238.33 ",05:47:04.872," 480,238.24 "
1237/9/1,480267,1315/12/5,1372/8/30,FALSE,FALSE,19:36:46.043," 480,267.82 ",19:48:11.479," 480,267.83 "
1904/10/01,723924,1983/01/14,2039/09/30,FALSE,FALSE,17:26:09.739," 723,924.73 ",09:03:57.421," 723,924.38 "
1904/11/01,723953,1983/02/12,2039/10/30,FALSE,FALSE,04:10:13.481," 723,954.17 ",04:45:33.318," 723,954.20 "
